Date,Open,High,Low,Close,Adj Close,Volume
2022-01-13,472.190002,472.880005,463.440002,464.529999,464.529999,91173100
2022-01-14,461.190002,465.089996,459.899994,464.720001,464.720001,95849600
2022-01-18,459.739990,459.959991,455.309998,456.489990,456.489990,109709100
2022-01-19,458.130005,459.609985,451.459991,451.750000,451.750000,109357600
2022-01-20,453.750000,458.739990,444.500000,446.750000,446.750000,122379700
2022-01-21,445.559998,448.059998,437.950012,437.980011,437.980011,202271200
2022-01-24,432.029999,440.380005,420.760010,439.839996,439.839996,251783900
2022-01-25,433.059998,439.720001,427.149994,434.470001,434.470001,167997300
2022-01-26,440.720001,444.040009,428.859985,433.380005,433.380005,186391100
2022-01-27,438.260010,441.589996,429.450012,431.239990,431.239990,149878300
2022-01-28,432.679993,442.000000,427.820007,441.950012,441.950012,164457400
2022-01-31,441.239990,450.279999,439.809998,449.910004,449.910004,152251400
2022-02-01,450.679993,453.630005,446.940002,452.950012,452.950012,123155400
2022-02-02,455.500000,458.119995,453.049988,457.350006,457.350006,117361000
2022-02-03,450.950012,452.970001,445.709991,446.600006,446.600006,118024400
2022-02-04,446.350006,452.779999,443.829987,448.700012,448.700012,118335600
2022-02-07,449.510010,450.989990,445.850006,447.260010,447.260010,84472900
2022-02-08,446.730011,451.920013,445.220001,450.940002,450.940002,81012000
2022-02-09,455.220001,457.880005,455.010010,457.540009,457.540009,92589900
2022-02-10,451.339996,457.709991,447.200012,449.320007,449.320007,140103700
2022-02-11,449.410004,451.609985,438.940002,440.459991,440.459991,153064100
